[1, 0.41875, 0.659375, 0.328125, 0.328125]
[0, 0.753125, 0.396875, 0.1875, 0.1875]
[1, 0.2, 0.19375, 0.15, 0.15]
[0, 0.228125, 0.190625, 0.309375, 0.309375]
[0, 0.33125, 0.403125, 0.31875, 0.31875]
[2, 0.5875, 0.340625, 0.178125, 0.178125]
[0, 0.625, 0.85, 0.228125, 0.228125]
[1, 0.665625, 0.428125, 0.2875, 0.2875]
[0, 0.8125, 0.578125, 0.16875, 0.16875]
[2, 0.540625, 0.45625, 0.3, 0.3]
[2, 0.2625, 0.628125, 0.278125, 0.278125]
[0, 0.09375, 0.884375, 0.1375, 0.1375]
[2, 0.371875, 0.08125, 0.159375, 0.159375]
[1, 0.8, 0.734375, 0.259375, 0.259375]
[1, 0.665625, 0.49375, 0.109375, 0.109375]
[0, 0.8625, 0.834375, 0.25, 0.25]
[2, 0.28125, 0.290625, 0.2375, 0.2375]
[2, 0.825, 0.23125, 0.26875, 0.26875]
[1, 0.259375, 0.771875, 0.31875, 0.31875]
[2, 0.284375, 0.43125, 0.128125, 0.128125]
[2, 0.40625, 0.25625, 0.16875, 0.16875]
[1, 0.684375, 0.121875, 0.2375, 0.2375]
[2, 0.359375, 0.221875, 0.309375, 0.309375]
[0, 0.53125, 0.2625, 0.31875, 0.31875]
[2, 0.75, 0.80625, 0.25, 0.25]
[0, 0.678125, 0.321875, 0.309375, 0.309375]
[2, 0.73125, 0.778125, 0.1875, 0.1875]
[1, 0.446875, 0.809375, 0.15, 0.15]
[1, 0.396875, 0.471875, 0.21875, 0.21875]
[0, 0.30625, 0.559375, 0.1375, 0.1375]
[2, 0.59375, 0.521875, 0.15, 0.15]
[2, 0.315625, 0.353125, 0.11875, 0.11875]
[1, 0.375, 0.18125, 0.1, 0.1]
[0, 0.78125, 0.55, 0.3, 0.3]
[1, 0.2125, 0.690625, 0.309375, 0.309375]
[0, 0.6875, 0.171875, 0.21875, 0.21875]
[1, 0.459375, 0.578125, 0.26875, 0.26875]
[1, 0.409375, 0.0625, 0.109375, 0.109375]
[0, 0.2875, 0.375, 0.2375, 0.2375]
[2, 0.528125, 0.240625, 0.2, 0.2]
[2, 0.615625, 0.221875, 0.2375, 0.2375]
[2, 0.815625, 0.371875, 0.26875, 0.26875]
[2, 0.2625, 0.259375, 0.1, 0.1]
[1, 0.81875, 0.346875, 0.1375, 0.1375]
[0, 0.44375, 0.221875, 0.309375, 0.309375]
[1, 0.1625, 0.115625, 0.109375, 0.109375]
[0, 0.484375, 0.721875, 0.31875, 0.31875]
[1, 0.5875, 0.34375, 0.21875, 0.21875]
[0, 0.078125, 0.240625, 0.1, 0.1]
[1, 0.146875, 0.225, 0.209375, 0.209375]
[1, 0.2625, 0.103125, 0.209375, 0.209375]
[2, 0.209375, 0.121875, 0.11875, 0.11875]
[1, 0.28125, 0.55625, 0.2875, 0.2875]
[1, 0.284375, 0.503125, 0.2, 0.2]
[1, 0.259375, 0.234375, 0.15, 0.15]
[2, 0.6875, 0.171875, 0.15, 0.15]
[0, 0.4625, 0.3875, 0.16875, 0.16875]
[1, 0.64375, 0.765625, 0.278125, 0.278125]
[2, 0.36875, 0.165625, 0.309375, 0.309375]
[2, 0.328125, 0.684375, 0.1, 0.1]
[0, 0.35625, 0.790625, 0.1875, 0.1875]
[2, 0.384375, 0.83125, 0.2375, 0.2375]
[1, 0.646875, 0.728125, 0.3, 0.3]
[0, 0.44375, 0.903125, 0.15, 0.15]
[0, 0.428125, 0.371875, 0.2875, 0.2875]
[2, 0.278125, 0.73125, 0.1875, 0.1875]
[2, 0.6125, 0.39375, 0.1, 0.1]
[0, 0.128125, 0.74375, 0.178125, 0.178125]
[0, 0.571875, 0.140625, 0.11875, 0.11875]
[2, 0.590625, 0.646875, 0.178125, 0.178125]
